0.021, 0.125, 0.500	0.017, 0.000, 0.125	0.017, 0.000, 0.000	0.020, 0.000, 0.250	0.020, 0.000, 0.375	0.021, 0.000, 0.375	0.017, 0.000, 0.375	0.021, 0.000, 0.125	0.026, 0.000, 0.375	0.020, 0.125, 0.375	0.016, 0.000, 0.000	0.017, 0.000, 0.125	0.033, 0.125, 0.375	0.017, 0.000, 0.375	0.021, 0.125, 0.250	0.015, 0.000, 0.250	0.023, 0.000, 0.125	0.017, 0.125, 0.250	0.014, 0.125, 0.375	0.023, 0.125, 0.375	0.016, 0.000, 0.125	0.023, 0.000, 0.125	0.023, 0.000, 0.250	0.017, 0.125, 0.250	0.027, 0.125, 0.500	0.017, 0.000, 0.250	0.022, 0.125, 0.375	0.024, 0.000, 0.125	0.024, 0.125, 0.250	0.017, 0.000, 0.125	0.022, 0.000, 0.125	0.029, 0.125, 0.125	0.008, 0.000, 0.125	0.018, 0.000, 0.000	0.008, 0.000, 0.000	0.017, 0.000, 0.250	0.029, 0.250, 0.375	0.018, 0.000, 0.000	0.034, 0.000, 0.250	0.010, 0.000, 0.125	0.096, 0.250, 1.000	0.015, 0.000, 0.250	0.025, 0.125, 0.375	0.021, 0.000, 0.125	0.015, 0.000, 0.125	0.020, 0.000, 0.500	0.022, 0.000, 0.000	0.016, 0.000, 0.250	0.022, 0.000, 0.375	0.017, 0.000, 0.000	
0.021, 0.000, 0.125	0.029, 0.000, 0.125	0.018, 0.000, 0.375	0.023, 0.000, 0.000	0.022, 0.125, 0.375	0.019, 0.000, 0.500	0.017, 0.000, 0.125	0.021, 0.000, 0.250	0.021, 0.000, 0.125	0.015, 0.000, 0.625	0.024, 0.000, 0.250	0.028, 0.000, 0.500	0.024, 0.000, 0.250	0.025, 0.000, 0.500	0.021, 0.000, 0.250	0.018, 0.000, 0.250	0.017, 0.000, 0.250	0.021, 0.000, 0.250	0.021, 0.000, 0.125	0.023, 0.000, 0.375	0.018, 0.000, 0.125	0.018, 0.000, 0.250	0.021, 0.000, 0.375	0.022, 0.000, 0.125	0.024, 0.000, 0.250	0.023, 0.000, 0.000	0.023, 0.000, 0.250	0.020, 0.000, 0.125	0.023, 0.000, 0.250	0.019, 0.000, 0.250	0.014, 0.000, 0.000	0.027, 0.000, 0.000	0.010, 0.000, 0.000	0.017, 0.000, 0.250	0.019, 0.000, 0.250	0.027, 0.000, 0.125	0.020, 0.000, 0.000	0.008, 0.125, 0.125	0.018, 0.000, 0.000	0.027, 0.000, 0.125	0.023, 0.000, 0.000	0.093, 0.000, 1.000	0.025, 0.000, 0.250	0.015, 0.000, 0.125	0.013, 0.000, 0.125	0.016, 0.000, 0.125	0.018, 0.000, 0.375	0.021, 0.000, 0.125	0.024, 0.000, 0.250	0.017, 0.000, 0.375	
0.022, 0.000, 0.375	0.018, 0.000, 0.125	0.025, 0.000, 0.250	0.019, 0.000, 0.250	0.024, 0.125, 0.625	0.024, 0.125, 0.250	0.027, 0.125, 0.375	0.019, 0.000, 0.500	0.028, 0.125, 0.375	0.023, 0.000, 0.125	0.020, 0.125, 0.125	0.017, 0.000, 0.250	0.022, 0.000, 0.375	0.019, 0.000, 0.375	0.024, 0.000, 0.375	0.014, 0.000, 0.000	0.010, 0.125, 0.125	0.017, 0.125, 0.375	0.013, 0.000, 0.125	0.022, 0.000, 0.250	0.018, 0.000, 0.250	0.025, 0.125, 0.250	0.018, 0.000, 0.125	0.017, 0.000, 0.125	0.027, 0.000, 0.250	0.020, 0.000, 0.250	0.023, 0.000, 0.250	0.018, 0.000, 0.125	0.019, 0.000, 0.125	0.029, 0.125, 0.125	0.024, 0.000, 0.000	0.020, 0.000, 0.125	0.023, 0.000, 0.000	0.023, 0.000, 0.250	0.008, 0.125, 0.125	0.027, 0.000, 0.000	0.025, 0.000, 0.000	0.020, 0.000, 0.125	0.025, 0.000, 0.250	0.019, 0.000, 0.125	0.026, 0.000, 0.500	0.027, 0.000, 0.375	0.098, 0.125, 1.000	0.017, 0.000, 0.375	0.026, 0.000, 0.125	0.018, 0.000, 0.250	0.031, 0.000, 0.375	0.022, 0.000, 0.250	0.014, 0.000, 0.000	0.030, 0.000, 0.125	
0.024, 0.125, 0.375	0.033, 0.125, 0.375	0.018, 0.000, 0.250	0.019, 0.000, 0.500	0.011, 0.000, 0.000	0.020, 0.000, 0.125	0.026, 0.125, 0.500	0.019, 0.000, 0.375	0.034, 0.000, 0.625	0.021, 0.125, 0.375	0.025, 0.000, 0.125	0.026, 0.000, 0.375	0.015, 0.000, 0.500	0.021, 0.125, 0.250	0.014, 0.000, 0.250	0.022, 0.000, 0.250	0.025, 0.000, 0.625	0.020, 0.000, 0.125	0.013, 0.000, 0.250	0.023, 0.000, 0.250	0.023, 0.000, 0.500	0.019, 0.000, 0.125	0.029, 0.000, 0.625	0.016, 0.000, 0.125	0.020, 0.000, 0.250	0.024, 0.125, 0.250	0.026, 0.000, 0.000	0.030, 0.125, 0.375	0.021, 0.000, 0.000	0.019, 0.000, 0.250	0.019, 0.000, 0.000	0.018, 0.000, 0.125	0.041, 0.125, 0.250	0.017, 0.000, 0.000	0.029, 0.000, 0.250	0.034, 0.125, 0.250	0.015, 0.000, 0.125	0.013, 0.000, 0.000	0.025, 0.000, 0.125	0.031, 0.125, 0.250	0.016, 0.000, 0.125	0.021, 0.000, 0.125	0.017, 0.000, 0.125	0.098, 0.125, 1.000	0.026, 0.125, 0.250	0.019, 0.000, 0.375	0.022, 0.000, 0.500	0.014, 0.000, 0.250	0.018, 0.000, 0.000	0.012, 0.000, 0.000	
0.024, 0.125, 0.500	0.026, 0.000, 0.500	0.018, 0.000, 0.125	0.017, 0.000, 0.125	0.022, 0.000, 0.250	0.014, 0.000, 0.500	0.021, 0.000, 0.125	0.024, 0.125, 0.500	0.021, 0.125, 0.375	0.018, 0.000, 0.250	0.020, 0.000, 0.250	0.026, 0.000, 0.625	0.024, 0.125, 0.500	0.024, 0.000, 0.125	0.018, 0.125, 0.375	0.021, 0.125, 0.625	0.026, 0.000, 0.500	0.016, 0.000, 0.000	0.020, 0.000, 0.125	0.020, 0.000, 0.375	0.018, 0.125, 0.250	0.017, 0.000, 0.125	0.019, 0.125, 0.500	0.023, 0.125, 0.375	0.027, 0.000, 0.375	0.019, 0.000, 0.250	0.018, 0.000, 0.000	0.018, 0.125, 0.500	0.017, 0.000, 0.125	0.024, 0.000, 0.125	0.031, 0.000, 0.250	0.029, 0.000, 0.000	0.020, 0.000, 0.125	0.037, 0.000, 0.000	0.019, 0.000, 0.125	0.032, 0.000, 0.125	0.032, 0.000, 0.250	0.018, 0.000, 0.125	0.025, 0.000, 0.125	0.019, 0.000, 0.000	0.011, 0.000, 0.000	0.022, 0.000, 0.125	0.025, 0.000, 0.375	0.021, 0.000, 0.125	0.098, 0.125, 1.000	0.027, 0.125, 0.625	0.020, 0.125, 0.125	0.020, 0.125, 0.375	0.017, 0.000, 0.125	0.020, 0.000, 0.250	
0.020, 0.000, 0.250	0.019, 0.000, 0.375	0.016, 0.000, 0.250	0.025, 0.000, 0.125	0.018, 0.000, 0.250	0.028, 0.000, 0.500	0.020, 0.000, 0.625	0.026, 0.000, 0.375	0.020, 0.000, 0.000	0.023, 0.000, 0.375	0.023, 0.000, 0.375	0.025, 0.000, 0.750	0.023, 0.000, 0.250	0.016, 0.000, 0.250	0.020, 0.000, 0.250	0.023, 0.000, 0.125	0.030, 0.000, 0.375	0.014, 0.000, 0.375	0.021, 0.000, 0.125	0.019, 0.000, 0.375	0.026, 0.000, 0.375	0.023, 0.000, 0.375	0.023, 0.000, 0.375	0.025, 0.000, 0.625	0.026, 0.000, 0.125	0.014, 0.000, 0.125	0.021, 0.000, 0.500	0.023, 0.000, 0.375	0.020, 0.000, 0.500	0.024, 0.000, 0.500	0.019, 0.000, 0.500	0.022, 0.000, 0.125	0.023, 0.000, 0.000	0.013, 0.000, 0.000	0.020, 0.000, 0.250	0.015, 0.125, 0.125	0.013, 0.000, 0.000	0.020, 0.000, 0.000	0.030, 0.000, 0.000	0.017, 0.000, 0.125	0.024, 0.000, 0.250	0.021, 0.000, 0.000	0.023, 0.000, 0.125	0.016, 0.000, 0.250	0.016, 0.000, 0.250	0.098, 0.000, 1.000	0.023, 0.000, 0.250	0.019, 0.000, 0.250	0.020, 0.000, 0.250	0.018, 0.000, 0.250	
0.029, 0.000, 0.500	0.023, 0.000, 0.125	0.027, 0.000, 0.250	0.023, 0.000, 0.250	0.030, 0.125, 0.375	0.021, 0.125, 0.500	0.026, 0.000, 0.375	0.024, 0.000, 0.250	0.022, 0.125, 0.375	0.023, 0.000, 0.250	0.026, 0.125, 0.250	0.019, 0.000, 0.250	0.026, 0.125, 0.500	0.021, 0.125, 0.500	0.030, 0.000, 0.500	0.020, 0.000, 0.250	0.022, 0.125, 0.250	0.025, 0.000, 0.750	0.019, 0.000, 0.250	0.027, 0.125, 0.375	0.029, 0.000, 0.375	0.015, 0.000, 0.125	0.020, 0.000, 0.125	0.023, 0.000, 0.500	0.028, 0.000, 0.500	0.022, 0.000, 0.375	0.030, 0.125, 0.625	0.021, 0.000, 0.125	0.021, 0.000, 0.250	0.021, 0.000, 0.250	0.029, 0.000, 0.000	0.017, 0.125, 0.125	0.022, 0.125, 0.125	0.022, 0.000, 0.125	0.022, 0.000, 0.250	0.015, 0.000, 0.125	0.018, 0.000, 0.000	0.022, 0.125, 0.125	0.022, 0.000, 0.250	0.022, 0.000, 0.250	0.024, 0.000, 0.000	0.018, 0.000, 0.375	0.022, 0.000, 0.375	0.013, 0.125, 0.250	0.031, 0.000, 0.500	0.019, 0.000, 0.250	0.098, 0.125, 1.000	0.025, 0.000, 0.250	0.018, 0.000, 0.000	0.022, 0.125, 0.625	
0.024, 0.000, 0.500	0.020, 0.000, 0.375	0.017, 0.000, 0.375	0.022, 0.000, 0.250	0.033, 0.000, 0.750	0.017, 0.000, 0.250	0.012, 0.000, 0.250	0.019, 0.000, 0.250	0.023, 0.000, 0.375	0.023, 0.000, 0.500	0.020, 0.000, 0.000	0.019, 0.000, 0.500	0.026, 0.000, 0.250	0.025, 0.000, 0.375	0.018, 0.000, 0.375	0.020, 0.000, 0.375	0.021, 0.000, 0.125	0.019, 0.000, 0.625	0.016, 0.000, 0.125	0.023, 0.000, 0.375	0.022, 0.000, 0.125	0.024, 0.000, 0.250	0.016, 0.000, 0.250	0.017, 0.000, 0.250	0.014, 0.000, 0.125	0.021, 0.000, 0.375	0.015, 0.000, 0.000	0.018, 0.000, 0.375	0.029, 0.000, 0.375	0.019, 0.000, 0.250	0.019, 0.000, 0.125	0.010, 0.000, 0.125	0.008, 0.000, 0.125	0.017, 0.000, 0.000	0.008, 0.000, 0.000	0.019, 0.000, 0.125	0.025, 0.000, 0.250	0.012, 0.000, 0.250	0.023, 0.000, 0.125	0.019, 0.000, 0.000	0.020, 0.000, 0.125	0.019, 0.000, 0.125	0.018, 0.000, 0.125	0.014, 0.000, 0.125	0.013, 0.000, 0.000	0.013, 0.000, 0.125	0.017, 0.000, 0.000	0.096, 0.000, 1.000	0.017, 0.000, 0.250	0.028, 0.000, 0.375	
0.027, 0.000, 0.375	0.030, 0.000, 0.500	0.024, 0.000, 0.125	0.024, 0.000, 0.250	0.022, 0.000, 0.250	0.024, 0.000, 0.375	0.017, 0.000, 0.375	0.023, 0.000, 0.375	0.020, 0.000, 0.250	0.023, 0.000, 0.250	0.031, 0.000, 0.500	0.026, 0.000, 0.250	0.027, 0.000, 0.375	0.015, 0.000, 0.250	0.024, 0.000, 0.250	0.022, 0.000, 0.125	0.026, 0.000, 0.625	0.019, 0.000, 0.000	0.017, 0.000, 0.125	0.020, 0.000, 0.250	0.023, 0.125, 0.125	0.024, 0.000, 0.250	0.022, 0.000, 0.250	0.025, 0.000, 0.375	0.030, 0.000, 0.375	0.023, 0.000, 0.125	0.026, 0.000, 0.375	0.021, 0.000, 0.125	0.021, 0.000, 0.250	0.016, 0.125, 0.250	0.021, 0.000, 0.125	0.020, 0.000, 0.000	0.020, 0.000, 0.250	0.023, 0.000, 0.000	0.024, 0.125, 0.250	0.029, 0.000, 0.000	0.015, 0.125, 0.375	0.023, 0.000, 0.125	0.028, 0.125, 0.125	0.029, 0.125, 0.375	0.022, 0.000, 0.250	0.015, 0.000, 0.125	0.022, 0.000, 0.125	0.021, 0.125, 0.375	0.011, 0.000, 0.125	0.016, 0.000, 0.125	0.032, 0.000, 0.250	0.013, 0.000, 0.125	0.098, 0.000, 1.000	0.024, 0.125, 0.500	
0.021, 0.000, 0.500	0.024, 0.125, 0.250	0.020, 0.000, 0.250	0.017, 0.000, 0.125	0.025, 0.000, 0.250	0.027, 0.125, 0.500	0.016, 0.000, 0.250	0.017, 0.000, 0.250	0.027, 0.000, 0.625	0.020, 0.000, 0.125	0.018, 0.000, 0.250	0.024, 0.000, 0.250	0.023, 0.000, 0.500	0.023, 0.000, 0.000	0.009, 0.000, 0.125	0.021, 0.125, 0.500	0.018, 0.000, 0.000	0.025, 0.000, 0.625	0.020, 0.125, 0.375	0.024, 0.000, 0.250	0.021, 0.000, 0.000	0.018, 0.000, 0.375	0.019, 0.000, 0.375	0.021, 0.000, 0.250	0.024, 0.000, 0.500	0.030, 0.000, 0.625	0.020, 0.000, 0.750	0.023, 0.000, 0.250	0.021, 0.000, 0.125	0.022, 0.000, 0.500	0.014, 0.125, 0.125	0.031, 0.000, 0.250	0.015, 0.000, 0.000	0.020, 0.125, 0.125	0.017, 0.125, 0.375	0.019, 0.125, 0.125	0.013, 0.000, 0.125	0.010, 0.000, 0.000	0.022, 0.000, 0.125	0.029, 0.000, 0.375	0.021, 0.000, 0.250	0.020, 0.000, 0.000	0.020, 0.125, 0.250	0.012, 0.000, 0.125	0.017, 0.000, 0.250	0.022, 0.125, 0.625	0.016, 0.000, 0.375	0.016, 0.000, 0.125	0.024, 0.000, 0.125	0.095, 0.125, 1.000	
